TRX DATE,TRX NUMBER,SALES CHANNEL,CUSTOMER NUMBER,ORG Name,Type,Month,Year,ORG,ITEM CODE,FRANCHISE,ITEM DESC,FAMILY,CLASS,SUBCLASS,UIS TYPE,QUANTITY,Unit Price,Discount Amount,Discount Amount(%),Net Amount,Vat Amount,TOTAL AMOUNT
2023-07-04,2311041359,REEM,3032,,INV,JUL,2023,EAC,WWS36G22I,WHITE WESTINGHOUSE,Indoor Split A/C 32200 BTU Cool,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,1,2173.48,0.0,0.0,2173.48,326.03,2499.51
2023-07-04,2321015936,RECA,7233,,INV,JUL,2023,TPC,LTT7CBBSI,LG,Ref 1D 6.9 Cu. Ft / Pocket Handle / Inverter Compressor,HA,REFRIGERATORS,MINI BAR,0-Month,1,1477.0,0.0,0.0,1477.0,221.55,1698.55
2023-07-08,2321016207,RECA,7233,,INV,JUL,2023,TPC,LTT7CBBWI,LG,Ref 1D 6.9 Cu. Ft / Pocket Handle / Inverter Compressor,HA,REFRIGERATORS,MINI BAR,0-Month,1,1390.0,0.0,0.0,1390.0,208.5,1598.5
2023-07-09,2311041965,RECA,7233,,INV,JUL,2023,EAC,PIPE V-30/36,WHITE WESTINGHOUSE,5 Meter copper pipe for 30K/36K Split AC,HVPAC,ACCESSORIES,PIPE,0-Month,1,0.01,0.0,0.0,0.01,0.01,0.02
2023-07-11,2311042182,RECO,7183,,INV,JUL,2023,EAC,WWS30G22C,WHITE WESTINGHOUSE,Outdoor Split A/C 27400 BTU Cool,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,1,1803.91,-118.01,6.54,1685.9,252.88,1938.78
2023-07-16,2311042537,RECA,4207,,INV,JUL,2023,EAC,AH-A12WCS,SHARP,Indoor Split A/C 11600 BTU Cool HI-EER Class D R410A,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,1,1216.96,-453.24,37.24,763.72,114.56,878.28
2023-07-16,2311042537,RECA,4207,,INV,JUL,2023,EAC,AU-A12WCS,SHARP,Outdoor Split A/C 11600 BTU Cool HI-EER Class D R410A,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,1,1216.96,-453.14,37.24,763.82,114.57,878.39
2023-07-16,2321016723,RECA,7233,,INV,JUL,2023,TPC,GR-A720ATE(SG),TOSHIBA,"FRIDGE 19.60 CFT (554L), INVERTER, 50/60HZ - FINE STAINLESS STEEL",HA,REFRIGERATORS,TOP MOUNT,0-Month,1,4173.04,-869.56,20.84,3303.48,495.52,3799.0
2023-07-18,2311043122,RECA,7233,,INV,JUL,2023,EAC,PIPE V-12/18,WHITE WESTINGHOUSE,4 Meter copper pipe for 12K/18K Split AC,HVPAC,ACCESSORIES,PIPE,0-Month,1,0.01,0.0,0.0,0.01,0.01,0.02
2023-07-18,2311043115,RECA,7233,,INV,JUL,2023,EAC,DS18T23WI,DORA,Indoor Split A/C 18000 BTU Cool WiFi HI-EER Class D R410A,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,1,977.83,-65.22,6.67,912.61,136.89,1049.5
